"name","location","short_description","sys_class_name","asset","category","change_control","asset_tag","department","managed_by_group","managed_by","monitor","owned_by","install_status","subcategory","support_group","supported_by","assigned_to","assignment_group"
"*RON-IBM","13308 Midland Road, Poway,CA","","Computer","P1000238 - Lenovo ThinkStation S20","Hardware","","P1000238","IT","","","false","","Installed","Computer","","","Ron Kettering",""
"*SONIC-IBM","","","Computer","","Hardware","","P1000003","","","","false","","Installed","Computer","","","",""
"*WAYNE-IBM","243 South Escondido Boulevard, Escondido,CA","","Computer","P1000236 - Lenovo ThinkStation S20","Hardware","","P1000236","IT","","","false","","Installed","Computer","","","Wayne Webb",""
".NET Framework","","","Software","","","","","","","","false","","Installed","","","","",""
".NET SDK","","","Software","","","","","","","","false","","Installed","","","","",""
"382735F5AD9E492","322 West 52nd Street, New York,NY","","Computer","P1000147 - Sony VAIO VPCSA3AGX","Do not migrate to asset","","P1000147","Sales","","","false","","","","","","Phil Hendrie",""
"3Com DMI Agent","","","Software","","","","","","","","false","","Installed","","","","",""
"3Com NIC Diagnostics","","","Software","","","","","","","","false","","Installed","","","","",""
"3D Groove Playback Engine","","","Software","","","","","","","","false","","Installed","","","","",""
"3D Pinball","","","Software","","","","","","","","false","","Installed","","","","",""
"42U 3100 SP1 NetShelter Rack","248 Abbotsford Road, Brisbane","","Rack","P1000131 - APC 42U 3100 SP1 NetShelter Rack","General","","P1000131","","","Don Goodliffe","false","","Installed","Rack","","","",""
"42U 3100 SP1 NetShelter Rack","150 Kennedy Road, Hong Kong","","Rack","P1000138 - APC 42U 3100 SP1 NetShelter Rack","General","","P1000138","","","Don Goodliffe","false","","Installed","Rack","","","",""
"42U 3100 SP2 NetShelter Rack","3 Whitehall Court, London","","Rack","P1000142 - APC 42U 3100 SP2 NetShelter Rack","General","","P1000142","","","Don Goodliffe","false","","Installed","Rack","","","",""
"42U 3100 SP2 NetShelter Rack","Karmelitska 2, Lesser Town, Prague","","Rack","P1000206 - APC 42U 3100 SP2 NetShelter Rack","General","","P1000206","","","Don Goodliffe","false","","Installed","Rack","","","",""
"4300-071302","808 N Route 59, Aurora,IL","","Computer","P1000047 - Dell Inc. Vostro 260","Hardware","","P1000047","Sales","","","false","","In Stock","Computer","","","Olga Yarovenko",""
"4300S-020220","945 South Birch Street, Glendale,CO","","Computer","P1000154 - Dell Inc. Vostro 260","Hardware","","P1000154","Sales","","","false","","Installed","Computer","","","Charlie Whitherspoon",""
"4400-030218","1454 Northwest 78th Avenue, Doral,FL","","Computer","P1000043 - Dell Inc. OptiPlex 390MT","Hardware","","P1000043","Sales","","","false","","Installed","Computer","","","George Grey",""
"4500S-021127","4492 Camino De La Plaza, San Ysidro,CA","","Computer","P1000148 - Gateway DX Series","Hardware","","P1000148","IT","","","false","","Installed","Computer","","","Taylor Vreeland",""
"4700-050517","650 Dennery Road #102, San Diego,CA","","Computer","P22837 - Gateway DX Series","Hardware","","P22837","Development","","","false","","In Stock","Computer","","","Alva Pennigton",""
"7200","","","Software","","","","","","","","false","","Installed","","","","",""
"7200Trb","","","Software","","","","","","","","false","","Installed","","","","",""
"7200_Help","","","Software","","","","","","","","false","","Installed","","","","",""
"7300","","","Software","","","","","","","","false","","Installed","","","","",""
"7300Trb","","","Software","","","","","","","","false","","Installed","","","","",""
"7300_Help","","","Software","","","","","","","","false","","Installed","","","","",""
"8255xDel","","","Software","","","","","","","","false","","Installed","","","","",""
"8400-053105","4492 Camino De La Plaza, San Ysidro,CA","","Computer","P1000224 - Gateway DX Series","Do not migrate to asset","","P1000224","IT","","","false","","Installed","","","","Ted Bozelle",""
"'@Backup Integration","","","Software","","","","","","","","false","","Installed","","","","",""
"Abacast Client","","","Software","","","","","","","","false","","Installed","","","","",""
"ABBYY FineReader 5.0 Sprint Plus","","","Software","","","","","","","","false","","Installed","","","","",""
"AboutTime","","","Software","","","","","","","","false","","Installed","","","","",""
"Access","","","Software","","","","","","","","false","","Installed","","","","",""
"Access IBM","","","Software","","","","","","","","false","","Installed","","","","",""
"Access IBM","","","Software","","","","","","","","false","","Installed","","","","",""
"Access IBM","","","Software","","","","","","","","false","","Installed","","","","",""
"Access IBM Message Center","","","Software","","","","","","","","false","","Installed","","","","",""
"Access IBM Message Center","","","Software","","","","","","","","false","","Installed","","","","",""
"Acrobat","","","Software","","","","","","","","false","","Installed","","","","",""
"Acrobat Distiller","","","Software","","","","","","","","false","","Installed","","","","",""
"Acrobat Reader","","","Software","","","","","","","","false","","Installed","","","","",""
"Action Tracker","","","Software","","","","","","","","false","","Installed","","","","",""
"Active Update","","","Software","","","","","","","","false","","Installed","","","","",""
"ActivePerl 5.6.1 Build 638","","","Software","","","","","","","","false","","Installed","","","","",""
"ActivePerl 5.8.7 Build 815","","","Software","","","","","","","","false","","Installed","","","","",""
"Ad-aware","","","Software","","","","","","","","false","","Installed","","","","",""
"Ad-Aware SE Personal","","","Software","","","","","","","","false","","Installed","","","","",""
"Ad-Aware SE Personal","","","Software","","","","","","","","false","","Installed","","","","",""
"Add-ons","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat - Reader 6.0.2 Update","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat 5.0","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat 6.0 Standard","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat 6.0.1 Standard","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat 7.0.1 and Reader 7.0.1 Update","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat 7.0.2 and Reader 7.0.2 Update","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat 7.0.3 and Reader 7.0.3 Update","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat and Reader 6.0.3 Update","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Acrobat and Reader 6.0.4 Update","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Atmosphere Player for Acrobat and Adobe Reader","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Creative Suite","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Download Manager","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Download Manager","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Download Manager","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe GoLive","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Help Center","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Photoshop","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Photoshop","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Photoshop Album 2.0 Starter Edition","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Photoshop Album 2.0 Starter Edition","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Photoshop Elements","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Photoshop Elements","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Premiere Pro","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Reader","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Reader","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Reader","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe Reader","","","Software","","","","","","","","false","","Installed","","","","",""
"Adobe SVG Viewer","","","Software","","","","","","","","false","","Installed","","","","",""
"AdobeÆ PhotoshopÆ Album Starter Edition","","","Software","","","","","","","","false","","Installed","","","","",""
"ADP PC/Payroll for Windows","","","Software","","","","","","","","false","","Installed","","","","",""
"Advanced Intercompany Transactions 7.0/7.5","","","Software","","","","","","","","false","","Installed","","","","",""
"Advanced Tools","","","Software","","","","","","","","false","","Installed","","","","",""
"AEEnable","","","Software","","","","","","","","false","","Installed","","","","",""
"AI RoboForm","","","Software","","","","","","","","false","","Installed","","","","",""
"AIA Contract Documents","","","Software","","","","","","","","false","","Installed","","","","",""
"AIMAUTO","","","Software","","","","","","","","false","","Installed","","","","",""
"AIOMinimal","","","Software","","","","","","","","false","","Installed","","","","",""
"AiOSoftware","","","Software","","","","","","","","false","","Installed","","","","",""
"AiOSoftware","","","Software","","","","","","","","false","","Installed","","","","",""
"AiOSoftware","","","Software","","","","","","","","false","","Installed","","","","",""
"AiO_Scan","","","Software","","","","","","","","false","","Installed","","","","",""
"AiO_Scan","","","Software","","","","","","","","false","","Installed","","","","",""
"AiO_Scan","","","Software","","","","","","","","false","","Installed","","","","",""
"AlbumToGoColor","","","Software","","","","","","","","false","","Installed","","","","",""
"ALDWXP","153 South Sierra Avenue, Solana Beach,CA","","Computer","P1000135 - Dell Inc. Precision T3500 Workstation","Do not migrate to asset","","P1000135","Development","","","false","","Installed","","","","David Loo",""
"All","","","Application Service Group","","","","","","","","false","","","","","","",""
"AllFusion ERwin Data Modeler","","","Software","","","","","","","","false","","Installed","","","","",""
"ALPS Touch Pad Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"Altiris Software Virtualization Agent","","","Software","","","","","","","","false","","Installed","","","","",""
"America Online (Choose which version to remove)","","","Software","","","","","","","","false","","Installed","","","","",""
"Anark Client","","","Software","","","","","","","","false","","Installed","","","","",""
"Ancestry Family Tree","","","Software","","","","","","","","false","","Installed","","","","",""
"ANDREWDWXP","153 South Sierra Avenue, Solana Beach,CA","","Computer","P1000143 - iBUYPOWER Gamer Supreme","Hardware","","P1000143","Development","","","false","","Installed","Computer","","","David Loo",""
"AnyDVD","","","Software","","","","","","","","false","","Installed","","","","",""
"AOL Coach Version 1.0(Build:20020929.1)","","","Software","","","","","","","","false","","Installed","","","","",""
"AOL Coach Version 1.0(Build:20030807.3)","","","Software","","","","","","","","false","","Installed","","","","",""
"AOL Explorer","","","Software","","","","","","","","false","","Installed","","","","",""
"AOL Instant Messenger","","","Software","","","","","","","","false","","Installed","","","","",""
"AOL Instant Messenger","","","Software","","","","","","","","false","","Installed","","","","",""
"AOL Toolbar","","","Software","","","","","","","","false","","Installed","","","","",""
"Apache","","","Software","","","","","","","","false","","Installed","","","","",""
"apache linux den 200","","","Web Server","P1000892 - Unknown","","","","","","","false","","Installed","","IT Securities","","",""
"apache linux ny 100","","","Web Server","Unknown","","","","","","","false","","Installed","","IT Securities","","",""
"Apache Tomcat","","","Software","","","","","","","","false","","Installed","","","","",""
"App-Win-Server-Cluster","","","Windows Cluster","","Resource","","","","","","false","","Installed","Cluster","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000177 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000177","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000004 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000004","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000072 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000072","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000115 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000115","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000183 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000183","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","Carretera Cancun-Chetumal KM 22, Cancun","","Computer","P1000000 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000000","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000056 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000056","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000112 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000112","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000185 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000185","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","615 North Bush Street, Santa Ana,CA","","Computer","P1000007 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000007","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","815 E Street, San Diego,CA","","Computer","P1000076 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000076","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","815 E Street, San Diego,CA","","Computer","P1000121 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000121","","","","false","","","","","","",""
"Apple - MacBook Pro 15"" for Technical Staff","815 E Street, San Diego,CA","","Computer","P1000188 - Apple MacBook Pro 15""","Do not migrate to asset","","P1000188","","","","false","","","","","","",""
"ApplicationServerHelpdesk","5052 Clairemont Drive, San Diego,CA","HelpDesk App Server","Server","P1000027 - Dell Inc. PowerEdge M710HD Blade Server","Do not migrate to asset","","P1000027","","","Bow Ruggeri","false","","Installed","","","","",""
"ApplicationServerPeopleSoft","5052 Clairemont Drive, San Diego,CA","PeopleSoft App Server","Server","P1000204 - Dell Inc. PowerEdge M710HD Blade Server","Do not migrate to asset","","P1000204","","","Bow Ruggeri","false","","Installed","","","","",""
"AppServerHelpDesk1","","","Windows Cluster Node","","","","","","","","false","","Installed","","","","",""
"AppServerHelpDesk2","","","Windows Cluster Node","","","","","","","","false","","Installed","","","","",""
"AppServerPeopleSoft1","","","Windows Cluster Node","","","","","","","","false","","Installed","","","","",""
"AppServerPeopleSoft2","","","Windows Cluster Node","","","","","","","","false","","Installed","","","","",""
"ArcSoft Camera Suite","","","Software","","","","","","","","false","","Installed","","","","",""
"ArcSoft Camera Suite","","","Software","","","","","","","","false","","Installed","","","","",""
"ArcSoft Panorama Maker 3","","","Software","","","","","","","","false","","Installed","","","","",""
"ArcSoft PhotoBase 3","","","Software","","","","","","","","false","","Installed","","","","",""
"ArcSoft PhotoStudio 5","","","Software","","","","","","","","false","","Installed","","","","",""
"ArcSoft Software Suite","","","Software","","","","","","","","false","","Installed","","","","",""
"AS-SX260-042103","1454 Northwest 78th Avenue, Doral,FL","","Computer","P1000109 - Cyberpower Gamer Ultra 2106","Do not migrate to asset","","P1000109","Sales","","","false","","","","","","Paul Shafer",""
"AS400","4193 University Avenue, San Diego,CA","System name: PHX400, enterprise server with ABS software, s/n 10-B7CDF","Server","P1000034 - Dell Inc. PowerEdge M710HD Blade Server","Do not migrate to asset","","P1000034","","","David Loo","false","","Installed","","","","",""
"ASF","","","Software","","","","","","","","false","","Installed","","","","",""
"ASPI Installation Verification","","","Software","","","","","","","","false","","Installed","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000079 - Asus G Series","Do not migrate to asset","","P1000079","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000013 - Asus G Series","Do not migrate to asset","","P1000013","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000193 - Asus G Series","Do not migrate to asset","","P1000193","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000117 - Asus G Series","Do not migrate to asset","","P1000117","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000077 - Asus G Series","Do not migrate to asset","","P1000077","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000011 - Asus G Series","Do not migrate to asset","","P1000011","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000191 - Asus G Series","Do not migrate to asset","","P1000191","","","","false","","In Stock","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000127 - Asus G Series","Do not migrate to asset","","P1000127","","","","false","","In Stock","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000074 - Asus G Series","Do not migrate to asset","","P1000074","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000008 - Asus G Series","Do not migrate to asset","","P1000008","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000189 - Asus G Series","Do not migrate to asset","","P1000189","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000125 - Asus G Series","Do not migrate to asset","","P1000125","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000083 - Asus G Series","Do not migrate to asset","","P1000083","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000005 - Asus G Series","Do not migrate to asset","","P1000005","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000186 - Asus G Series","Do not migrate to asset","","P1000186","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000122 - Asus G Series","Do not migrate to asset","","P1000122","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000080 - Asus G Series","Do not migrate to asset","","P1000080","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000014 - Asus G Series","Do not migrate to asset","","P1000014","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000194 - Asus G Series","Do not migrate to asset","","P1000194","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000118 - Asus G Series","Do not migrate to asset","","P1000118","","","","false","","","","","","",""
"Asus G Series","615 North Bush Street, Santa Ana,CA","","Computer","P1000078 - Asus G Series","Do not migrate to asset","","P1000078","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000012 - Asus G Series","Do not migrate to asset","","P1000012","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000192 - Asus G Series","Do not migrate to asset","","P1000192","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000128 - Asus G Series","Do not migrate to asset","","P1000128","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000075 - Asus G Series","Do not migrate to asset","","P1000075","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000009 - Asus G Series","Do not migrate to asset","","P1000009","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000190 - Asus G Series","Do not migrate to asset","","P1000190","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000126 - Asus G Series","Do not migrate to asset","","P1000126","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000084 - Asus G Series","Do not migrate to asset","","P1000084","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000006 - Asus G Series","Do not migrate to asset","","P1000006","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000187 - Asus G Series","Do not migrate to asset","","P1000187","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000123 - Asus G Series","Do not migrate to asset","","P1000123","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000081 - Asus G Series","Do not migrate to asset","","P1000081","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000015 - Asus G Series","Do not migrate to asset","","P1000015","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000195 - Asus G Series","Do not migrate to asset","","P1000195","","","","false","","","","","","",""
"Asus G Series","815 E Street, San Diego,CA","","Computer","P1000119 - Asus G Series","Do not migrate to asset","","P1000119","","","","false","","","","","","",""
"ATI - Software Uninstall Utility","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI - Software Uninstall Utility","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI - Software Uninstall Utility","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Control Panel","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Control Panel","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Control Panel","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Control Panel","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Display Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Display Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Display Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Display Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Display Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI Display Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"ATI HYDRAVISION","","","Software","","","","","","","","false","","Installed","","","","",""
"Atmel Tpm Install 2.1.1.01","","","Software","","","","","","","","false","","Installed","","","","",""
"Atomic Clock Sync","","","Software","","","","","","","","false","","Installed","","","","",""
"Attune","","","Software","","","","","","","","false","","Installed","","","","",""
"Audio Record Wizard","","","Software","","","","","","","","false","","Installed","","","","",""
"Autorun","","","Software","","","","","","","","false","","Installed","","","","",""
"AutoUpdate","","","Software","","","","","","","","false","","Installed","","","","",""
"AvantGo","","","Software","","","","","","","","false","","Installed","","","","",""
"Avery DesignPro","","","Software","","","","","","","","false","","Installed","","","","",""
"AveryÆ Wizard 2.1 forMicrosoftÆ Word 2000","","","Software","","","","","","","","false","","Installed","","","","",""
"Avid Codecs LE","","","Software","","","","","","","","false","","Installed","","","","",""
"AviSynth","","","Software","","","","","","","","false","","Installed","","","","",""
"AzureBay Screen Saver","","","Software","","","","","","","","false","","Installed","","","","",""
"Backpack Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"Backup","","","Software","","","","","","","","false","","Installed","","","","",""
"Backup Exec Remote Agent for Windows NT/2000","","","Software","","","","","","","","false","","Installed","","","","",""
"BACKUP2","153 South Sierra Avenue, Solana Beach,CA","","Computer","P1000149 - Dell Inc. XPS 15","Do not migrate to asset","","P1000149","Development","","","false","","","","","","David Loo",""
"BackWeb","","","Software","","","","","","","","false","","Installed","","","","",""
"Banctec Service Agreement","","","Software","","","","","","","","false","","Installed","","","","",""
"Banctec Service Agreement","","","Software","","","","","","","","false","","Installed","","","","",""
"Banctec Service Agreement","","","Software","","","","","","","","false","","Installed","","","","",""
"Barracuda Networks Outlook Plug-in","","","Software","","","","","","","","false","","Installed","","","","",""
"Barracuda Networks Outlook Plugin 0.9d","","","Software","","","","","","","","false","","Installed","","","","",""
"Battlefield 1942","","","Software","","","","","","","","false","","Installed","","","","",""
"Battlefield 2(TM)","","","Software","","","","","","","","false","","Installed","","","","",""
"Battlefield Vietnam(TM)","","","Software","","","","","","","","false","","Installed","","","","",""
"BCM V.92 56K Modem","","","Software","","","","","","","","false","","Installed","","","","",""
"Beach Islands Screensaver","","","Software","","","","","","","","false","","Installed","","","","",""
"Belarc Advisor","","","Software","","","","","","","","false","","Installed","","","","",""
"BeTrapped!","","","Software","","","","","","","","false","","Installed","","","","",""
"Bink and Smacker","","","Software","","","","","","","","false","","Installed","","","","",""
"BitTorrent","","","Software","","","","","","","","false","","Installed","","","","",""
"Blackberry","150 Kennedy Road, Hong Kong","","Service","Unknown","Business Service","","","","","Wilmer Constantineau","false","Jerrod Bennett","Installed","Service","Capacity Mgmt","","",""
"BlackBerry Desktop Manager","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Manager","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Manager","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Manager","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Manager 3.6","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Manager 3.6","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Manager 3.6","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Manager 3.6","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Software 4.0","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Software 4.0.1","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Software 4.0.1","","","Software","","","","","","","","false","","Installed","","","","",""
"BlackBerry Desktop Software 4.1","","","Software","","","","","","","","false","","Installed","","","","",""
